expense_id,date,amount,description,vendor,department,category
EXP00273,2025-11-28,8658.3,Operations payroll - November 2025,Gusto Payroll,Operations,Salaries & Payroll
EXP00274,2025-11-28,8691.37,Finance payroll - November 2025,Gusto Payroll,Finance,Salaries & Payroll
EXP00275,2025-12-01,6145.85,WeWork office lease - December,WeWork,Operations,Office Rent & Facilities
EXP00276,2025-12-02,114.43,DoorDash - team meal/event,DoorDash,Marketing,Meals & Entertainment
EXP00277,2025-12-03,461.48,Internet & utilities - December,Comcast Business,Operations,Utilities
EXP00278,2025-12-05,1149.58,Business insurance premium - December,Hiscox Business Insurance,Operations,Insurance
EXP00279,2025-12-07,294.47,GitHub subscription - December,GitHub,Engineering,Software Subscriptions
EXP00280,2025-12-08,230.9,Notion subscription - December,Notion,Operations,Software Subscriptions
EXP00281,2025-12-09,254.97,Atlassian subscription - December,Atlassian,Engineering,Software Subscriptions
EXP00282,2025-12-10,2504.06,Apple Store - laptop/equipment purchase,Apple Store,Customer Success,Equipment & Hardware
EXP00283,2025-12-12,153.04,Figma subscription - December,Figma,Marketing,Software Subscriptions
EXP00284,2025-12-12,626.61,Uber - business travel December,Uber,Sales,Travel & Transportation
EXP00285,2025-12-16,176.65,Local Bistro - team meal/event,Local Bistro,Operations,Meals & Entertainment
EXP00286,2025-12-18,296.55,Marriott Hotels - business travel December,Marriott Hotels,Marketing,Travel & Transportation
EXP00287,2025-12-21,5539.61,Harrison & Cole LLP - quarterly advisory/legal fees,Harrison & Cole LLP,Finance,Professional Services
EXP00288,2025-12-23,3677.72,AWS - EC2 & S3 hosting December,Amazon Web Services,Engineering,Cloud Services
EXP00289,2025-12-24,542.72,Datadog subscription - December,Datadog,Engineering,Software Subscriptions
EXP00290,2025-12-24,1890.99,Meta Ads campaign - December,Meta Ads,Marketing,Marketing & Advertising
EXP00291,2025-12-24,2875.25,Google Ads campaign - December,Google Ads,Marketing,Marketing & Advertising
EXP00292,2025-12-25,1511.09,LinkedIn Ads campaign - December,LinkedIn Ads,Marketing,Marketing & Advertising
EXP00293,2025-12-28,60364.56,Engineering payroll - December 2025,Gusto Payroll,Engineering,Salaries & Payroll
EXP00294,2025-12-28,34418.03,Sales payroll - December 2025,Gusto Payroll,Sales,Salaries & Payroll
EXP00295,2025-12-28,25615.8,Marketing payroll - December 2025,Gusto Payroll,Marketing,Salaries & Payroll
EXP00296,2025-12-28,17333.99,Customer Success payroll - December 2025,Gusto Payroll,Customer Success,Salaries & Payroll
EXP00297,2025-12-28,8369.55,Operations payroll - December 2025,Gusto Payroll,Operations,Salaries & Payroll
EXP00298,2025-12-28,8424.18,Finance payroll - December 2025,Gusto Payroll,Finance,Salaries & Payroll
